GNUC_PREREQ
SCHED_H
USE_LARGEFILE64
USE_XOPEN_EXTENDED
CPU_XOR_S
ISOC2X_SOURCE
USE_POSIX199309
CPU_OR_S
USE_UNIX98
USE_ATFILE
FUNCTION
CPU_CLR_S
CPU_ZERO_S
ATFILE_SOURCE
POSIX_SOURCE
USE_MISC
CPU_EQUAL
CPU_ISSET
LARGEFILE64_SOURCE
USE_POSIX2
USE_XOPEN
GLIBC_USE_DEPRECATED_GETS
GLIBC_USE_DEPRECATED_SCANF
CPU_CLR
TIME_UTC
CPU_ISSET_S
DEFAULT_SOURCE
CPU_COUNT_S
USE_XOPEN2K8XSI
CPU_ALLOC_SIZE
USE_FILE_OFFSET64
GLIBC_MINOR__
GLIBC_USE
USE_POSIX_IMPLICITLY
USE_POSIX199506
USE_XOPEN2K
CPU_FREE
XOPEN_SOURCE
USE_GNU
GLIBC_USE_ISOC2X
CPU_ZERO
CPU_SET
ISOC95_SOURCE
GLIBC__
CPU_EQUAL_S
USE_ISOC11
USE_ISOC95
USE_ISOCXX11
CPU_AND_S
KERNEL_STRICT_NAMES
USE_ISOC99
LARGEFILE_SOURCE
USE_XOPEN2KXSI
CPU_AND
TIME_H
CPU_COUNT
USE_EXTERN_INLINES
CPU_OR
CPU_ALLOC
ISOC99_SOURCE
USE_XOPEN2K8
USE_FORTIFY_LEVEL
CPU_SETSIZE
CPU_SET_S
FEATURES_H
USE_POSIX
GNU_LIBRARY__
POSIX_C_SOURCE
ISOC11_SOURCE
NULL
GLIBC_PREREQ
CPU_XOR
XOPEN_SOURCE_EXTENDED
USE_LARGEFILE
