SEEK_SET
GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION
P_
IONBF
SEEK_END
BUFSIZ
RENAME_WHITEOUT
STDIO_H
SEEK_DATA
IOLBF
SEEK_CUR
RENAME_NOREPLACE
IOFBF
SEEK_HOLE
NULL
VA_LIST_DEFINED
EOF
RENAME_EXCHANGE
