GNUC_PREREQ
USE_LARGEFILE64
USE_XOPEN_EXTENDED
MM_OK
ISOC2X_SOURCE
MM_NOMSG
USE_POSIX199309
GLIBC_PREREQ
MM_NULLLBL
USE_UNIX98
USE_ATFILE
MM_NULLMC
MM_NOCON
ATFILE_SOURCE
FUNCTION
USE_LARGEFILE
POSIX_SOURCE
MM_RECOVER
MM_OPSYS
MM_WARNING
USE_MISC
MM_FIRM
LARGEFILE64_SOURCE
USE_POSIX2
USE_XOPEN
POSIX_C_SOURCE
MM_SOFT
GLIBC_USE_DEPRECATED_GETS
MM_NOTOK
MM_CONSOLE
DEFAULT_SOURCE
FMTMSG_H
ISOC11_SOURCE
MM_NULLTXT
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
GLIBC_MINOR__
GLIBC_USE
USE_POSIX_IMPLICITLY
USE_POSIX199506
USE_XOPEN2K
XOPEN_SOURCE
USE_GNU
GLIBC_USE_ISOC2X
MM_NOSEV
MM_NULLSEV
MM_UTIL
MM_HARD
ISOC95_SOURCE
GLIBC__
MM_INFO
USE_ISOC11
USE_ISOC95
USE_ISOCXX11
MM_NRECOV
KERNEL_STRICT_NAMES
USE_ISOC99
LARGEFILE_SOURCE
MM_PRINT
USE_XOPEN2KXSI
USE_EXTERN_INLINES
ISOC99_SOURCE
USE_XOPEN2K8
USE_FORTIFY_LEVEL
MM_ERROR
FEATURES_H
USE_POSIX
GNU_LIBRARY__
GLIBC_USE_DEPRECATED_SCANF
MM_NULLTAG
MM_HALT
MM_NULLACT
XOPEN_SOURCE_EXTENDED
MM_APPL
