LC_MESSAGES
USE_LARGEFILE64
FUNCTION
LC_ADDRESS_MASK
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
USE_XOPEN2K
LC_ADDRESS
LC_COLLATE_MASK
LC_IDENTIFICATION_MASK
LC_MEASUREMENT_MASK
LC_MEASUREMENT
LC_TIME
LC_CTYPE_MASK
USE_XOPEN2K8
LC_NAME_MASK
LC_TELEPHONE
FEATURES_H
ISOC11_SOURCE
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
LC_PAPER_MASK
LC_MESSAGES_MASK
LC_NUMERIC_MASK
USE_XOPEN
LC_ALL
LC_TELEPHONE_MASK
GLIBC_USE_ISOC2X
GLIBC__
LC_TIME_MASK
USE_ISOC11
LC_MONETARY
USE_ISOCXX11
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
LOCALE_H
LC_NAME
USE_EXTERN_INLINES
USE_FORTIFY_LEVEL
USE_POSIX
LC_CTYPE
LC_PAPER
GNUC_PREREQ
LC_COLLATE
ATFILE_SOURCE
LC_GLOBAL_LOCALE
LARGEFILE64_SOURCE
USE_POSIX2
USE_POSIX_IMPLICITLY
USE_POSIX199506
LC_MONETARY_MASK
LC_ALL_MASK
LC_IDENTIFICATION
ISOC99_SOURCE
POSIX_C_SOURCE
NULL
USE_LARGEFILE
USE_UNIX98
USE_ATFILE
POSIX_SOURCE
USE_MISC
GLIBC_MINOR__
GLIBC_USE
XOPEN_SOURCE
USE_GNU
ISOC95_SOURCE
USE_ISOC95
USE_ISOC99
LC_NUMERIC
GNU_LIBRARY__
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
