FP_INT_TONEARESTFROMZERO
MATH_DECLARING_FLOATN
MATH_DECLARING_DOUBLE
FP_NAN
MATHCALL_VEC
MATH_PRECNAME
HUGE_VAL_F64X
SNANF32
MATHCALL_NARROW_ARGS_1
MATH_EVAL_FMT2
HUGE_VAL_F32X
SNANF128X
NAN
FP_SUBNORMAL
MATHCALL_NARROW_ARGS_2
FP_NORMAL
M_PI
M_2_SQRTPI
MATHCALL_REDIR_NAME
FP_ZERO
SNAN
MAXFLOAT
MATHDECL_VEC
MATH_TG_F32
SNANF16
FP_LLOGB0
SNANF128
M_PI_2
M_PI_4
SIMD_DECL
FP_ILOGB0
HUGE_VAL_F16
M_SQRT1_2
HUGE_VAL
M_LOG2E
FP_ILOGBNAN
FP_INT_TOWARDZERO
M_SQRT2
M_1_PI
MATH_TG
SNANF
NO_MATH_INLINES
HUGE_VAL_F128X
HUGE_VALL
MATHDECLX
FP_INT_TONEAREST
MATHCALL
M_2_PI
M_LN2
INFINITY
MATH_H
FP_INT_UPWARD
MATHDECL_2
MATHCALL_NARROW_NORMAL
MATH_ERREXCEPT
SNANF64X
SNANL
HUGE_VAL_F128
MATHCALL_NARROW_ARGS_3
FP_LONG_MAX
SNANF64
MATH_TG_F64X
HUGE_VAL_F32
HUGE_VAL_F64
SNANF32X
M_LOG10E
MATH_ERRNO
MATHCALL_NARROW_REDIR
FP_LLOGBNAN
MATHDECL
MATH_DECLARE_LDOUBLE
M_LN10
FP_INT_DOWNWARD
MATHCALL_NAME
FP_INFINITE
MATHCALLX
GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION
M_E
HUGE_VALF
MATHCALL_NARROW
MATHDECL_1
