USE_LARGEFILE64
PATH_RWHODIR
MNTTYPE_NFS
FUNCTION
PATH_SHADOW
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
PATH_NOLOGIN
DEFAULT_SOURCE
PATH_VARDB
PATH_MAN
USE_XOPEN2K8XSI
MNTOPT_SUID
USE_FILE_OFFSET64
MNTENT_H
USE_XOPEN2K
PATH_MNTTAB
PATH_CONSOLE
MNTOPT_NOSUID
USE_XOPEN2K8
PATH_UNIX
PATH_DEVDB
FEATURES_H
ISOC11_SOURCE
PATH_GSHADOW
PATH_LASTLOG
USE_XOPEN_EXTENDED
MNTOPT_NOAUTO
ISOC2X_SOURCE
USE_POSIX199309
PATH_VARRUN
USE_XOPEN
PATH_WTMP
MOUNTED
PATH_PRESERVE
MNTOPT_RO
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
USE_ISOCXX11
MNTTYPE_IGNORE
PATHS_H_
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
MNTTYPE_SWAP
PATH_UTMP
USE_EXTERN_INLINES
USE_FORTIFY_LEVEL
USE_POSIX
PATH_KLOG
PATH_TMP
GNUC_PREREQ
PATH_BSHELL
PATH_VARTMP
ATFILE_SOURCE
MNTOPT_DEFAULTS
LARGEFILE64_SOURCE
USE_POSIX2
USE_POSIX_IMPLICITLY
USE_POSIX199506
PATH_KMEM
ISOC99_SOURCE
POSIX_C_SOURCE
PATH_STDPATH
USE_LARGEFILE
MNTOPT_RW
USE_UNIX98
USE_ATFILE
PATH_DEV
PATH_TTY
POSIX_SOURCE
PATH_VI
USE_MISC
PATH_DRUM
PATH_SHELLS
GLIBC_MINOR__
GLIBC_USE
XOPEN_SOURCE
USE_GNU
PATH_CSHELL
PATH_SENDMAIL
PATH_MOUNTED
ISOC95_SOURCE
PATH_DEVNULL
USE_ISOC95
PATH_MAILDIR
USE_ISOC99
PATH_DEFPATH
MNTTAB
GNU_LIBRARY__
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
PATH_MEM
