UINT_FAST16_MAX
USE_LARGEFILE64
PRIXLEAST32
FUNCTION
INT64_MAX
PRIXFAST16
INT_FAST32_MAX
UINT_LEAST64_MAX
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
INT16_MAX
PRIXFAST64
PRIXPTR
WINT_MAX
INT_LEAST16_WIDTH
PRIXLEAST8
INT_FAST16_MAX
DEFAULT_SOURCE
WCHAR_MAX
INT_LEAST32_MAX
STDINT_H
UINTMAX_WIDTH
INT64_C
USE_XOPEN2K8XSI
UINT_FAST8_WIDTH
USE_FILE_OFFSET64
USE_XOPEN2K
INT_LEAST8_WIDTH
UINT32_WIDTH
INT_FAST64_WIDTH
INT_FAST8_MAX
UINTPTR_WIDTH
UINT64_C
INT_FAST16_MIN
INT_FAST16_WIDTH
USE_XOPEN2K8
PRIX16
INTPTR_MAX
INTMAX_MAX
FEATURES_H
UINT16_C
SIZE_MAX
ISOC11_SOURCE
UINT64_MAX
UINT_FAST64_WIDTH
PRI64_PREFIX
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
INT_LEAST32_MIN
INT_FAST32_MIN
WCHAR_MIN
UINT_LEAST32_MAX
SIG_ATOMIC_WIDTH
USE_XOPEN
UINT64_WIDTH
PRIX64
UINT_LEAST8_MAX
INTTYPES_H
INT_FAST8_MIN
UINT16_MAX
INT8_WIDTH
INTPTR_WIDTH
INT16_C
INT64_MIN
PRIX32
INT_FAST64_MIN
SIG_ATOMIC_MAX
INT_LEAST16_MIN
INTMAX_C
GLIBC_USE_ISOC2X
INT_LEAST64_MIN
UINT_FAST32_WIDTH
UINTMAX_MAX
GLIBC__
PRI
SIZE_WIDTH
INT8_C
USE_ISOC11
USE_ISOCXX11
INT32_WIDTH
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
INT_LEAST64_WIDTH
PRIXLEAST64
PRIXMAX
USE_EXTERN_INLINES
USE_FORTIFY_LEVEL
INT16_MIN
UINTMAX_C
USE_POSIX
INTMAX_WIDTH
INTMAX_MIN
GNUC_PREREQ
UINT8_C
INT32_MAX
UINT32_MAX
INT8_MAX
SIG_ATOMIC_MIN
ATFILE_SOURCE
INT8_MIN
INT_FAST32_WIDTH
UINT16_WIDTH
UINT_FAST64_MAX
LARGEFILE64_SOURCE
USE_POSIX2
UINT8_MAX
INT16_WIDTH
INT_LEAST8_MAX
INT_LEAST16_MAX
WINT_MIN
UINT8_WIDTH
USE_POSIX_IMPLICITLY
USE_POSIX199506
UINT_LEAST32_WIDTH
UINT_FAST16_WIDTH
WINT_WIDTH
INT_LEAST32_WIDTH
UINT_LEAST16_MAX
ISOC99_SOURCE
UINT_FAST8_MAX
PRIX8
POSIX_C_SOURCE
USE_LARGEFILE
PRIPTR_PREFIX
USE_UNIX98
UINT32_C
USE_ATFILE
UINTPTR_MAX
INT32_MIN
POSIX_SOURCE
INT_FAST8_WIDTH
PTRDIFF_MIN
USE_MISC
INT32_C
PRIXFAST32
INTPTR_MIN
GLIBC_MINOR__
GLIBC_USE
UINT_LEAST8_WIDTH
XOPEN_SOURCE
USE_GNU
GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION
WCHAR_WIDTH
ISOC95_SOURCE
INT_FAST64_MAX
PRIXFAST8
PRIXLEAST16
USE_ISOC95
INT_LEAST64_MAX
UINT_FAST32_MAX
UINT_LEAST16_WIDTH
USE_ISOC99
UINT_LEAST64_WIDTH
INT_LEAST8_MIN
INT64_WIDTH
PTRDIFF_MAX
SCN
GNU_LIBRARY__
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
PTRDIFF_WIDTH
