EAI_SYSTEM
USE_LARGEFILE64
NO_DATA
FUNCTION
GLIBC_USE_DEPRECATED_SCANF
NI_DGRAM
GLIBC_USE_DEPRECATED_GETS
DEFAULT_SOURCE
NO_RECOVERY
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
NO_ADDRESS
AI_NUMERICHOST
USE_XOPEN2K
EAI_OVERFLOW
AI_ALL
EAI_AGAIN
NETDB_INTERNAL
EAI_NOTCANCELED
IPPORT_RESERVED
USE_XOPEN2K8
FEATURES_H
EAI_ALLDONE
PATH_NSSWITCH_CONF
ISOC11_SOURCE
EAI_ADDRFAMILY
PATH_NETWORKS
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
SCOPE_DELIMITER
USE_POSIX199309
NETDB_SUCCESS
AI_IDN_ALLOW_UNASSIGNED
NI_NOFQDN
EAI_INTR
USE_XOPEN
EAI_NONAME
EAI_SERVICE
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
USE_ISOCXX11
EAI_CANCELED
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
NI_IDN
AI_CANONNAME
USE_EXTERN_INLINES
AI_PASSIVE
USE_FORTIFY_LEVEL
USE_POSIX
EAI_NODATA
EAI_IDN_ENCODE
NI_MAXHOST
GNUC_PREREQ
ATFILE_SOURCE
GAI_WAIT
LARGEFILE64_SOURCE
USE_POSIX2
GAI_NOWAIT
AI_V4MAPPED
EAI_SOCKTYPE
USE_POSIX_IMPLICITLY
USE_POSIX199506
EAI_FAIL
NETDB_H
AI_ADDRCONFIG
PATH_HOSTS
ISOC99_SOURCE
AI_IDN_USE_STD3_ASCII_RULES
PATH_HEQUIV
NI_IDN_USE_STD3_ASCII_RULES
NI_MAXSERV
POSIX_C_SOURCE
NI_IDN_ALLOW_UNASSIGNED
USE_LARGEFILE
PATH_SERVICES
USE_UNIX98
USE_ATFILE
AI_IDN
NI_NAMEREQD
POSIX_SOURCE
USE_MISC
NI_NUMERICSERV
AI_CANONIDN
HOST_NOT_FOUND
GLIBC_MINOR__
EAI_MEMORY
EAI_INPROGRESS
NI_NUMERICHOST
GLIBC_USE
EAI_FAMILY
XOPEN_SOURCE
USE_GNU
ISOC95_SOURCE
TRY_AGAIN
USE_ISOC95
USE_ISOC99
EAI_BADFLAGS
AI_NUMERICSERV
GNU_LIBRARY__
PATH_PROTOCOLS
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
