USE_LARGEFILE64
SEEK_DATA
FUNCTION
POSIX2_THIS_VERSION
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
F_TEST
XOPEN_VERSION
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
XOPEN_LEGACY
USE_XOPEN2K
F_LOCK
SEEK_HOLE
USE_XOPEN2K8
FEATURES_H
ISOC11_SOURCE
POSIX2_C_DEV
R_OK
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
STDOUT_FILENO
TEMP_FAILURE_RETRY
POSIX2_C_VERSION
USE_XOPEN
X_OK
STDIN_FILENO
XOPEN_UNIX
XOPEN_XCU_VERSION
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
USE_ISOCXX11
F_TLOCK
F_ULOCK
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
USE_XOPEN2KXSI
XOPEN_ENH_I18N
USE_EXTERN_INLINES
L_XTND
USE_FORTIFY_LEVEL
USE_POSIX
UNISTD_H
SEEK_SET
GNUC_PREREQ
ATFILE_SOURCE
LARGEFILE64_SOURCE
USE_POSIX2
XOPEN_XPG2
POSIX_VERSION
L_SET
USE_POSIX_IMPLICITLY
USE_POSIX199506
SEEK_CUR
POSIX2_VERSION
ISOC99_SOURCE
POSIX_C_SOURCE
NULL
USE_LARGEFILE
USE_UNIX98
USE_ATFILE
L_INCR
W_OK
STDERR_FILENO
POSIX_SOURCE
USE_MISC
POSIX2_LOCALEDEF
POSIX2_SW_DEV
F_OK
GLIBC_MINOR__
GLIBC_USE
XOPEN_SOURCE
USE_GNU
SEEK_END
ISOC95_SOURCE
USE_ISOC95
USE_ISOC99
XOPEN_XPG3
POSIX2_C_BIND
XOPEN_XPG4
GNU_LIBRARY__
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
