USE_LARGEFILE64
SEEK_DATA
FUNCTION
IOFBF
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
M_MXFAST
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
USE_XOPEN2K
M_TOP_PAD
SEEK_HOLE
M_PERTURB
USE_XOPEN2K8
IOLBF
FEATURES_H
M_MMAP_MAX
ISOC11_SOURCE
RENAME_EXCHANGE
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
MALLOC_DEPRECATED
USE_XOPEN
M_TRIM_THRESHOLD
RENAME_NOREPLACE
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
USE_ISOCXX11
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
USE_EXTERN_INLINES
USE_FORTIFY_LEVEL
USE_POSIX
SEEK_SET
GNUC_PREREQ
ATFILE_SOURCE
MALLOC_HOOK_VOLATILE
LARGEFILE64_SOURCE
USE_POSIX2
M_CHECK_ACTION
M_GRAIN
BUFSIZ
USE_POSIX_IMPLICITLY
M_KEEP
USE_POSIX199506
MALLOC_H
SEEK_CUR
IONBF
ISOC99_SOURCE
RENAME_WHITEOUT
POSIX_C_SOURCE
NULL
M_ARENA_TEST
USE_LARGEFILE
M_MMAP_THRESHOLD
USE_UNIX98
USE_ATFILE
POSIX_SOURCE
USE_MISC
GLIBC_MINOR__
GLIBC_USE
VA_LIST_DEFINED
XOPEN_SOURCE
USE_GNU
GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION
P_
SEEK_END
ISOC95_SOURCE
USE_ISOC95
USE_ISOC99
EOF
M_ARENA_MAX
M_NLBLKS
STDIO_H
GNU_LIBRARY__
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
