USE_LARGEFILE64
FUNCTION
S_IFCHR
S_IRWXO
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
F_TEST
S_IFBLK
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
USE_XOPEN2K
S_IFLNK
S_ISGID
F_LOCK
USE_XOPEN2K8
FEATURES_H
ISOC11_SOURCE
S_IXGRP
R_OK
S_IFMT
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
S_IRUSR
OPEN_NEEDS_MODE
USE_XOPEN
S_IFREG
X_OK
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
USE_ISOCXX11
F_TLOCK
F_ULOCK
S_IFDIR
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
USE_XOPEN2KXSI
USE_EXTERN_INLINES
S_IXOTH
USE_FORTIFY_LEVEL
USE_POSIX
S_IRWXG
SEEK_SET
GNUC_PREREQ
FCNTL_H
ATFILE_SOURCE
LARGEFILE64_SOURCE
USE_POSIX2
USE_POSIX_IMPLICITLY
USE_POSIX199506
SEEK_CUR
S_IXUSR
S_IROTH
ISOC99_SOURCE
S_ISVTX
POSIX_C_SOURCE
USE_LARGEFILE
S_ISUID
USE_UNIX98
USE_ATFILE
W_OK
POSIX_SOURCE
USE_MISC
S_IFSOCK
S_IWOTH
S_IRWXU
F_OK
GLIBC_MINOR__
GLIBC_USE
XOPEN_SOURCE
USE_GNU
SEEK_END
ISOC95_SOURCE
USE_ISOC95
S_IWUSR
S_IRGRP
USE_ISOC99
S_IWGRP
GNU_LIBRARY__
S_IFIFO
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
