GNUC_PREREQ
USE_LARGEFILE64
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
USE_UNIX98
USE_ATFILE
FUNCTION
ATFILE_SOURCE
MCHECK_H
POSIX_SOURCE
USE_MISC
GLIBC_USE_DEPRECATED_GETS
GLIBC_USE_DEPRECATED_SCANF
LARGEFILE64_SOURCE
USE_POSIX2
USE_XOPEN
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
GLIBC_MINOR__
GLIBC_USE
USE_POSIX_IMPLICITLY
USE_POSIX199506
USE_XOPEN2K
XOPEN_SOURCE
USE_GNU
GLIBC_USE_ISOC2X
ISOC95_SOURCE
GLIBC__
USE_ISOC11
USE_ISOC95
USE_ISOCXX11
USE_XOPEN2KXSI
USE_ISOC99
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
USE_EXTERN_INLINES
ISOC99_SOURCE
USE_XOPEN2K8
USE_FORTIFY_LEVEL
FEATURES_H
USE_POSIX
GNU_LIBRARY__
POSIX_C_SOURCE
ISOC11_SOURCE
GLIBC_PREREQ
XOPEN_SOURCE_EXTENDED
USE_LARGEFILE
