DT_DIR
DT_REG
GNUC_PREREQ
USE_LARGEFILE64
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
GLIBC_PREREQ
USE_UNIX98
USE_ATFILE
FUNCTION
DT_CHR
ATFILE_SOURCE
DIRENT_H
DTTOIF
POSIX_SOURCE
USE_MISC
GLIBC_USE_DEPRECATED_GETS
GLIBC_USE_DEPRECATED_SCANF
LARGEFILE64_SOURCE
USE_POSIX2
USE_XOPEN
DT_UNKNOWN
DEFAULT_SOURCE
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
GLIBC_MINOR__
GLIBC_USE
USE_POSIX_IMPLICITLY
USE_POSIX199506
USE_XOPEN2K
XOPEN_SOURCE
USE_GNU
MAXNAMLEN
D_EXACT_NAMLEN
DT_LNK
GLIBC_USE_ISOC2X
ISOC95_SOURCE
GLIBC__
USE_ISOC11
USE_ISOC95
DT_BLK
USE_ISOCXX11
IFTODT
KERNEL_STRICT_NAMES
DT_WHT
D_ALLOC_NAMLEN
USE_ISOC99
LARGEFILE_SOURCE
USE_XOPEN2KXSI
USE_EXTERN_INLINES
ISOC99_SOURCE
USE_XOPEN2K8
USE_FORTIFY_LEVEL
DIR_
FEATURES_H
USE_POSIX
GNU_LIBRARY__
POSIX_C_SOURCE
ISOC11_SOURCE
DT_FIFO
DT_SOCK
XOPEN_SOURCE_EXTENDED
USE_LARGEFILE
