FNM_FILE_NAME
FNMATCH_H
FNM_NOESCAPE
FNM_LEADING_DIR
FNM_NOSYS
FNM_CASEFOLD
FNM_PERIOD
FNM_PATHNAME
FNM_EXTMATCH
FNM_NOMATCH
