USE_LARGEFILE64
PATH_RWHODIR
FUNCTION
PATH_SHADOW
GLIBC_USE_DEPRECATED_SCANF
GLIBC_USE_DEPRECATED_GETS
PATH_NOLOGIN
DEFAULT_SOURCE
PATH_VARDB
PATH_MAN
USE_XOPEN2K8XSI
USE_FILE_OFFSET64
USE_XOPEN2K
PATH_MNTTAB
PATH_CONSOLE
USE_XOPEN2K8
PATH_UNIX
PATH_DEVDB
FEATURES_H
SHADOW_H
ISOC11_SOURCE
PATH_GSHADOW
PATH_LASTLOG
USE_XOPEN_EXTENDED
ISOC2X_SOURCE
USE_POSIX199309
PATH_VARRUN
USE_XOPEN
PATH_WTMP
PATH_PRESERVE
GLIBC_USE_ISOC2X
GLIBC__
USE_ISOC11
SHADOW
USE_ISOCXX11
XOPEN_SOURCE_EXTENDED
PATHS_H_
USE_XOPEN2KXSI
KERNEL_STRICT_NAMES
LARGEFILE_SOURCE
PATH_UTMP
USE_EXTERN_INLINES
USE_FORTIFY_LEVEL
USE_POSIX
PATH_KLOG
PATH_TMP
GNUC_PREREQ
PATH_BSHELL
PATH_VARTMP
ATFILE_SOURCE
LARGEFILE64_SOURCE
USE_POSIX2
USE_POSIX_IMPLICITLY
USE_POSIX199506
PATH_KMEM
ISOC99_SOURCE
POSIX_C_SOURCE
PATH_STDPATH
USE_LARGEFILE
USE_UNIX98
USE_ATFILE
PATH_DEV
PATH_TTY
POSIX_SOURCE
PATH_VI
USE_MISC
PATH_DRUM
PATH_SHELLS
GLIBC_MINOR__
GLIBC_USE
XOPEN_SOURCE
USE_GNU
PATH_CSHELL
PATH_SENDMAIL
ISOC95_SOURCE
PATH_DEVNULL
USE_ISOC95
PATH_MAILDIR
USE_ISOC99
PATH_DEFPATH
GNU_LIBRARY__
GLIBC_PREREQ
PATH_MOUNTED
PATH_MEM
