RE_SYNTAX_POSIX_MINIMAL_EXTENDED
RE_SYNTAX_EGREP
REG_ESUBREG
REG_NOMATCH
REGS_UNALLOCATED
RE_DUP_MAX
REG_ECTYPE
RE_TRANSLATE_TYPE
LLONG_WIDTH
UINT_MAX
RE_SYNTAX_GREP
RE_NO_GNU_OPS
RE_BK_PLUS_QM
RE_SYNTAX_POSIX_MINIMAL_BASIC
REG_BADBR
REGS_REALLOCATE
USHRT_MAX
REGS_FIXED
REG_ESPACE
REG_ESIZE
INT_MIN
ULONG_MAX
REG_EXTENDED
RE_CONTEXT_INVALID_DUP
REG_ICASE
RE_NO_BK_PARENS
RE_SYNTAX_ED
RE_NREGS
RE_NO_BK_REFS
LIMITS_H
RE_CONTEXT_INDEP_ANCHORS
RE_CONTEXT_INDEP_OPS
SCHAR_MAX
LONG_WIDTH
REG_EPAREN
INT_WIDTH
LONG_MAX
REG_EBRACE
CHAR_MAX
CHAR_BIT
RE_SYNTAX_EMACS
RE_BACKSLASH_ESCAPE_IN_LISTS
REG_ENOSYS
REG_NOSUB
UINT_WIDTH
RE_CARET_ANCHORS_HERE
RE_CONTEXT_INVALID_OPS
CHAR_MIN
RE_DEBUG
RE_UNMATCHED_RIGHT_PAREN_ORD
RE_SYNTAX_POSIX_COMMON
REG_EEND
UCHAR_WIDTH
REG_NOTBOL
RE_SYNTAX_POSIX_EXTENDED
SHRT_WIDTH
RE_CHAR_CLASSES
RE_INTERVALS
RE_SYNTAX_SED
LIBC_LIMITS_H_
INT_MAX
UCHAR_MAX
REG_BADPAT
ULLONG_MAX
RE_INVALID_INTERVAL_ORD
RE_NO_BK_VBAR
REG_BADRPT
SHRT_MIN
SHRT_MAX
SCHAR_WIDTH
MB_LEN_MAX
RE_LIMITED_OPS
RE_NEWLINE_ALT
ULONG_WIDTH
REPB_PREFIX
REG_STARTEND
RE_NO_BK_BRACES
RE_SYNTAX_POSIX_BASIC
LLONG_MIN
RE_DOT_NOT_NULL
RE_SYNTAX_AWK
RE_NO_EMPTY_RANGES
RE_DOT_NEWLINE
REG_NOTEOL
CHAR_WIDTH
REG_EBRACK
LONG_MIN
SCHAR_MIN
REG_ECOLLATE
USHRT_WIDTH
REG_ERANGE
ULLONG_WIDTH
LLONG_MAX
REG_ERPAREN
RE_HAT_LISTS_NOT_NEWLINE
RE_ICASE
USE_GNU
GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION
RE_NO_SUB
REG_NOERROR
REGEX_H
RE_SYNTAX_POSIX_EGREP
RE_SYNTAX_GNU_AWK
REG_NEWLINE
RE_NO_POSIX_BACKTRACKING
RE_SYNTAX_POSIX_AWK
REG_EESCAPE
